id,doi,abstract
0,10.1038/s41598-020-61813-6,"Two flexible subcomponents, namely tris(4-formylphenyl)phosphate and tris(2-aminoethyl)amine, are assembled into a tetrapodal [4 + 4] cage depending on the solvent effect. Single-crystal structure analysis reveals that the caivity is surrounded by four phosphate uints. Good selectivity of CO2 adsorption over CH4 is demonstrated by the gas adsorption experiment."
1,10.1002/chem.201705713,"The synthesis of shape‐persistent organic cage compounds is often based on the usage of multiple dynamic covalent bond formation (such as imines) of readily available precursors. By careful choice of the precursors geometry, the geometry and size of the resulting cage can be accurately designed and indeed a number of different geometries and sizes have been realized to date. Despite of this fact, little is known about the precursors conformational rigidity and steric preorganization of reacting functional groups on the outcome of the reaction. Herein, the influence of conformational rigidity in the precursors on the formation of a [4+4] imine cage with truncated tetrahedral geometry is discussed."
2,10.1038/s41467-018-05271-9,"Supramolecular synthesis is a powerful strategy for assembling complex molecules, but to do this by targeted design is challenging. This is because multicomponent assembly reactions have the potential to form a wide variety of products. High-throughput screening can explore a broad synthetic space, but this is inefficient and inelegant when applied blindly. Here we fuse computation with robotic synthesis to create a hybrid discovery workflow for discovering new organic cage molecules, and by extension, other supramolecular systems. A total of 78 precursor combinations were investigated by computation and experiment, leading to 33 cages that were formed cleanly in one-pot syntheses. Comparison of calculations with experimental outcomes across this broad library shows that computation has the power to focus experiments, for example by identifying linkers that are less likely to be reliable for cage formation. Screening also led to the unplanned discovery of a new cage topology—doubly bridged, triply interlocked cage catenanes."
3,10.1039/c4cc06225f,Dynamic covalent imine chemistry has been utilized to synthesize a fluorescent [3+2] self-assembled nanoscopic organic cage. The fluorescent nature of the reduced analogue of the cage was further exploited for the highly selective detection of the explosive picric acid (PA).
4,10.1021/ja00007a060,"We report here the simple synthesis2 of hemicarcerand 1 and of 14 carceplexes composed of 1 containing guests of large enough dimensions to sterically inhibit dissociation and permit their isolation and characterization. We suggest the term “constrictive binding” for this phenomenon,3 exemplified previously by the complexation of xenon by an empty hemicarcerand in CDC13.4 The ‘H NMR spectrum of l2 is consistent with the D4h symmetry of the drawing of 1, whose CPK model appears unstrained, and whose cavity is complementary to CPK models of [3.3]paracyclophane or to 9,1 O-dimethoxyanthracene."
5,10.1021/ol100215c,"A π-templated dynamic [2 + 2 + 1] clipping protocol is established for the synthesis of [2]catenanes from two parts dialdehyde, two parts diamine, and one part tetracationic cyclophane. It is further diversified for the selective formation of an unsymmetrical [2]catenane showing great translational selectivity by employing two different dialdehydes in a one-pot reaction. The dual selectivity and the dynamic nature are verified by 1H NMR spectroscopy, X-ray single-crystal structural studies, and exchange experiments."
6,10.1039/c5ob01956g,"An investigation into the most suitable alkali metal ions for templating the assembly of [2]catenanes from di-, tri-, and tetra(ethylene glycol)-containing guest diamines and isophthalaldehyde has indicated that Na+, K+, and Rb+ ions are optimal for preparing [2]catenanes containing at least one di(ethylene glycol) unit, two tri(ethylene glycol) units, and at least one tetra(ethylene glycol) unit [in the absence of a di(ethylene glycol) unit], respectively."
7,10.1038/NCHEM.739,"Interlocked molecules comprise two or more separate components that are joined by ‘mechanical’ rather than covalent bonds. In other words, these molecular assemblies cannot be dissociated without the cleavage of one or more chemical bonds. Although recent progress has enabled the preparation of such topologies through coordination or templating interactions, three-dimensional interlocked covalent architectures remain difficult to prepare. Here, we present a template-free one-pot synthesis of triply interlocked organic cages. These 20-component dimers consist of two tetrahedral monomeric cages each built from four nodes and six linkers. The monomers exhibit axial chirality, which is recognized by their partner cage during the template-free interlocking assembly process. The dimeric cages also include two well-defined cavities per assembly, which for one of the systems studied led to the formation of a supramolecular host–guest chain. These interlocked organic molecules may prove useful as part of a toolkit for the modular construction of complex porous solids and other supramolecular assemblies."
8,10.1021/acs.chemmater.9b03088,"Interlayer interactions play an important role in the formation of two-dimensional covalent organic frameworks (2D COFs), yet the effects of monomer structure on COF formation, crystallinity, and susceptibility to exfoliation are not well understood. Here we probe these effects by studying the stacking behavior of imine-linked macrocycles that represent discrete models of 2D COFs. Specifically, macrocycles based on terephthaldehyde (PDA) or 2,5-dimethoxyterephthaldehyde (DMPDA) stack upon cooling molecularly dissolved solutions. Both macrocycles assemble cooperatively with similar ΔHe values of −97 kJ/mol and −101 kJ/mol, respectively, although the DMPDA macrocycle assembly process showed a more straightforward temperature dependence. Density functional theory calculations of the stacking of PDA macrocycles suggested two stable configurations that were close in energy. Circular dichroism spectroscopy performed on macrocycles bearing chiral side chains revealed a helix reversion process for the PDA macrocycles that was not observed for the DMPDA macrocycles. Given the structural similarity of these monomers, these findings demonstrate that the stacking processes associated with nanotubes derived from these macrocycles, as well as for the corresponding COFs, are complex and susceptible to kinetic traps, casting doubt on the relevance of thermodynamic arguments for improving materials quality. Rather, a deeper understanding of the mechanism of supramolecular polymerization and its interplay with polymerization and error correction during COF synthesis is needed for improved control of the crystallinity and morphology of these emerging materials."
9,10.1039/B603985E,"Hexagon-shaped [6 + 6] Schiff-base macrocycles with 12 imine bonds are reported. These giant macrocycles possess 6 N2O2 coordination environments and mass spectrometry evidence for hexametallation of one macrocycle is provided. Semi-empirical calculations reveal two stable conformations with boat and chair geometries for the macrocycles metallated with Ni(II), analogous to the conformations observed for cyclohexane."
